ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Random Forest,0.9469026548672567,0.9805499664654594,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.886317907444668
Logistic Regression,0.9469026548672567,0.9909456740442656,0.9736842105263158,0.8809523809523809,0.925,0.8867154954351479
kNN,0.9203539823008849,0.9610999329309189,0.9714285714285714,0.8095238095238095,0.8831168831168831,0.8313416548354599
Decision Tree,0.9026548672566371,0.8573105298457411,0.8974358974358975,0.8333333333333334,0.8641975308641975,0.789812587326701
Naive Bayes,0.8938053097345132,0.9795439302481556,0.8947368421052632,0.8095238095238095,0.85,0.7704305619912349
